Total,5762203,,5762254,5762258,,,,,5762334,5762392,,5762575,,,5762704,5762706,5762128,5763121
,6,7,8,1,1,2,2,2,8,6,7,6,6,6,8,8,8,8
,,,,,,,,,,,,,,,,,,
,0.5486,0.6086,0.1379,0.57,0.06,0.37,0.28,0.29,0.242,0.9313,0.1598,0,0.4207,0.0332,22643.21,2,82.28,4
92,6,7,8,1,1,2,2,2,8,6,7,6,6,6,8,8,0,8
,0.535,0.6243,0.1255,0.24,0.21,0.23,0.25,0.31,0.2421,0.7912,0.151,0,0.4503,0.0271,77560.1,5,31.18,0
78,6,7,8,0,1,2,2,2,8,0,0,6,6,6,8,8,0,8
,0.3789,0.3873,0.0384,0.66,0.29,0.1,0.17,0.44,0.242,0.3222,0.1205,0,0.2782,0.0272,72860.27,1,36,2
85,6,7,0,0,1,2,2,2,8,0,7,6,6,6,8,8,8,8
,0.3662,0.4833,0.1103,0.45,0.13,0.18,0.25,0.44,0.2421,0.989,0.097,0.3752,0.6248,0.0396,47895.74,3,156.89,1
65,6,7,8,1,0,0,0,0,8,6,7,0,0,6,8,8,0,0
,0.5502,0.5434,0.0876,0.3,0.41,0.64,0.84,1,0.242,0.907,0.2002,0,0.4207,0.0401,37638.15,3,75,3
93,6,7,8,1,0,0,0,0,8,6,7,6,6,6,8,8,8,8
,0.5076,0.5404,0.1216,0.53,16,1.41,2.92,5,0.559,0.4368,0.5678,0.2983,0,0.03881,67573.17,3,24,2
51,6,7,8,0,0,0,0,0,0,0,0,0,0,6,8,8,8,0
,0.3475,0.5046,0.0163,0.52,0.7,0.52,0.27,0,,0.9809,0.7187,0,0,0,61651.28,2,56,4
36,6,7,0,1,0,0,0,0,0,0,0,6,0,0,0,0,8,8
,0.3457,0.3961,0.1006,0.24,0.28,0.07,0.34,0.12,0.073,0.9313,0.1131,0,0.44038,0.02711,16454.32,4,47.5,3
67,0,0,8,1,1,0,2,0,0,6,7,6,6,6,8,8,0,8
,0.3189,0.4048,0.0943,0.53,0.25,0.94,2.64,5,0.242,0.9869,0.095,0,0.3897,0.0405,49283.29,1,96,3
94,6,7,8,1,1,0,0,0,8,6,7,6,6,6,8,8,8,8
,0.3973,0.5215,0.087,0.41,0.29,0.3,0.14,0.27,0.242,0.7185,0.0935,0,0.4481,0.0186,79861.04,4,42,2
92,6,7,8,1,1,2,2,2,8,6,7,6,6,6,8,8,8,0
,0.3375,0.2331,0.12,0.22,0.27,0.34,0.17,0.22,0.242,0.9898,0.0469,0.3519,0.5,0.0308,476316.7,0,56,1
80,6,7,8,1,1,2,2,2,8,6,7,0,0,6,0,8,8,8
