Total,5762203,,5762254.0,5762258.0,,,,,5762334.0,5762392.0,,5762575.0,,,5762576.0,5762704.0,5762706.0,5762128.0
,6,7,8.0,1.0,1.0,2.0,2.0,2.0,8.0,6.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0
,,,,,,,,,,,,,,,,,,
,0.4627,0.47,0.1194,0.31,0.23,0.16,0.3,0.31,0.242,0.7185,0.2112,1.0,0.0,0.0283,0.5098,68151.68,1.0,88.0
65,6,7,8.0,1.0,1.0,2.0,2.0,2.0,8.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,8.0
,0.6667,0.6979,0.0863,0.19,0.36,0.1,0.35,0.19,0.242,0.989,0.032,0.0,0.3876,0.0204,0.9461,60773.48,1.0,62.08
84,6,7,8.0,1.0,1.0,2.0,2.0,2.0,8.0,6.0,7.0,6.0,6.0,6.0,8.0,0.0,8.0,0.0
,0.3276,0.3687,0.0909,0.05,0.35,0.29,0.31,0.05,0.242,0.987,0.0441,0.0,0.3897,0.0309,0.9324,52067.18,3.0,50.0
92,6,7,8.0,1.0,1.0,2.0,2.0,2.0,8.0,6.0,7.0,6.0,6.0,6.0,8.0,0.0,8.0,8.0
,0.3579,0.2802,0.0907,0.58,0.35,0.07,0.31,0.27,0.242,0.6778,0.4732,0.0161,0.3478,0.0399,0.8807,69613.25,3.0,78.0
86,6,7,8.0,1.0,1.0,2.0,2.0,2.0,8.0,6.0,7.0,0.0,6.0,6.0,8.0,0.0,8.0,8.0
,0.3795,0.3907,0.12,0.36,0.13,0.42,0.09,0.36,0.242,0.1111,0.2222,0.0,0.3369,0.0191,0.8895,60858.34,0.0,28.0
71,6,7,8.0,1.0,1.0,2.0,2.0,2.0,8.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,8.0,8.0
,0.2953,0.2169,0.1164,0.95,0.05,0.45,0.55,1.0,10.392,0.0102,0.0811,0.0,0.0398,0.959,0.9086,57925.0,3.0,165.02
29,6,0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.6597,0.6193,0.0762,0.22,0.19,0.27,0.32,0.22,0.242,0.6996,0.0746,0.0,0.4956,0.0192,0.9437,78552.94,4.0,40.0
86,6,7,8.0,1.0,1.0,2.0,2.0,2.0,8.0,6.0,7.0,6.0,0.0,6.0,8.0,0.0,8.0,8.0
,0.6097,0.713,0.0912,0.53,0.25,0.22,0.23,0.3,0.242,0.9858,0.2603,0.0,0.3835,0.0134,0.9311,53952.94,0.0,128.0
