Total,5762203,,5762254,5762258,,,,,5762334,5762392,,5762575,,,5762704,5762706,5762128,5763121
,6,7,8,1,1,2,2,2,8,6,7,6,6,6,8,8,8,8
,,,,,,,,,,,,,,,,,,
,0.5418,0.7056,0.1274,0.32,0.21,0.47,0.12,0.2,0.395,0.0811,3.564,0,0.3085,0.0313,58460.27,6,103.65,0
71,6,7,8,1,1,2,2,2,0,0,0,6,6,6,8,8,0,8
,0.5146,0.485,0.0943,0.24,0.27,0.19,0.3,0.24,0.242,0.9858,0.1399,0.3939,0.1061,0.0446,48515.88,1,96,4
74,0,0,8,0,1,2,2,2,8,6,7,0,0,6,8,8,8,8
,0.2561,0.0518,0.1217,0.59,0.41,0.15,0.32,0.12,0.559,0.9889,0.1431,0,0.3632,0.0455,46184.4,3,105,4
85,6,0,8,1,1,2,2,2,0,6,7,6,6,6,8,8,8,8
,0.5405,0.4931,0.1045,0.33,0.14,0.11,0.335,0.5,,0.4872,0.1854,0.0071,0.5036,0.4673,40143.2,4,224.79,3
48,6,7,8,0,1,2,0,0,0,0,0,0,0,0,8,8,0,8
,0.0916,0.2304,0.0102,0.7866,0.1,0.1,0,,0.688,0.7979,0.5,0.21,0.34,0.5,400000,2,20,3
23,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0
,0.59,0.6438,0.0868,0.43,0.33,0.24,0.06,0.37,0.242,0.9825,0.0348,0,0.4,0.0401,"49,585.43",7,79.06,1
65,6,7,8,1,1,2,2,2,8,0,0,6,0,6,8,8,0,0
,0.2358393,0.2752294,0.1252393,0.64,0.25,0.11,0.5,0.14,0.2420615,0.9206972,0.4365813,0,0.4309669,0.01501991,26960.85,3,33,2
100,6,7,8,1,1,2,2,2,8,6,7,6,6,6,8,8,8,8
,0.4212,0.1045,0,,,,,,0.659,0.4857,0.1535,0.4181,0.5819,0.0131,41317.4,1,52,3
22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,8
,0.3387,0.3147,0.0946,0.58,0.311,0.846,1.46,0,0.242,0.7467,0.4928,0.4987,0.444,0.4644,78137.5,1,88,0
53,6,7,0,0,0,0,0,0,8,0,0,0,0,0,8,8,8,8
,0.4429,0.4132,0.1249,0.67,0.11,0.22,0.34,0.33,0.3953,0.4909,0.0181,0.1856,0.3876,0.0187,40719.96,4,22,0
72,6,7,8,1,1,2,2,2,0,0,7,0,6,6,8,8,8,0
,0.3948,0.3072,0.1098,0.45,0.19,0.36,0.35,0.1,0.242,0.9207,0.2139,0.4364,0.4634,0.0413,25983.29,1,93,5
88,6,7,8,1,1,2,2,2,8,6,7,0,0,6,8,8,8,8
