Total,5800333,,5800339.0,5800344,5800346.0,5800350.0,,5800354.0,5800356.0,,,,,,,,5800357.0,,,,,,,,,,,,5800358.0,,,,5800362,,,,,
,3,3,8.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0847,0.4663,0.0,0.929,2.0,2.17,139.0,91.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0273,5.0,3.0,0.0273,0.05,0.0,2.666,0.0076,1.0,8.0,0.0,1.411,-7.15,-6.85,122,4.0,0.0,2.366,-78.7,322.7
81,0,3,8.0,6,0.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,0.0,0.0,2,2,2,2.0,0.0,0,2,2
,0.0254,0.4847,9.0,0.071,0.0,1.554,178.0,680.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0,3.0,1.0,0,0.05,1.0,0.556,0.0218,0.0,5.0,0.0,5.0,20.22,180,154,8.0,1.0,0.345,,
25,0,0,0.0,0,6.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0,0.0,2.0,0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0,0,0
,0.614,0.2697,5.0,0.75,4.0,1.5979999999999999,256.0,103.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0245,0.0,5.0,0.0245,0.05,1.0,2.1,,1.0,1.0,2.0,2.347,-8.15,-5.85,134,4.0,0.0,1.8860000000000001,9.8,258.2
80,3,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,0.0,2,0,2.0,0.0,2.0,2.0,2,2,2,2.0,2.0,0,2,2
,1.005,0.1574,7.0,0.929,2.0,1.881,266.0,104.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,0.0296,5.0,4.0,0.0296,0.05,0.0,2.29,0.022,,0.0,2.0,2.41,-4.06,2.06,40,7.0,0.0,3.896,-77,157
88,3,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,0.0,0.0,2.0,2.0,2,2,2,2.0,2.0,2,2,2
,1.0989,0.1359,0.0,0.059,1.0,1.34,249.0,103.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0224,4.0,5.0,0.0224,0.05,0.0,0.0277,0.2748,0.0,1.0,2.0,1.6099999999999999,-1.12,-0.88,111,1.0,1.0,1.611,24.5,197.5
54,3,3,0.0,0,6.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,0.0,2.0,0,2.0,2.0,0,0,2.0,0.0,2.0,2.0,2,2,2,2.0,2.0,0,2,2
,1.0604,0.1445,4.0,0.9,5.0,1.5979999999999999,265.0,102.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0324,1.0,0.0,0.0324,0.05,0.0,1.126,0.26,0.0,1.0,0.0,1.645,-12.15,-9.85,50,0.0,1.0,2.62,-9,109
94,3,3,8.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2,0.0,2.0,2,2.0,2.0,2,2,2.0,2.0,0.0,2.0,2,2,2,2.0,2.0,2,2,2
,0,0.5,1.0,1/2,3.0,1.812,220.0,105.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0469,4.0,1.0,0.0469,0.05,1.0,1.08,0.2802,0.0,4.0,2.0,1.665,-4.29,-3.71,68,3.0,0.0,3.896,-120.96659,256.96659
78,3,3,8.0,0,0.0,3.0,3.0,8.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2,2.0,2.0,2,2.0,0.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,2,2,2
,1.21554,0.11208,9.0,,4.0,1.405,117.0,109.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0401,5.0,2.0,0.0401,0.05,1.0,0.18642,,,,2.0,2.36239,-3.5,-2.5,89,8.0,1.0,1.751,-40.574,218.574
58,3,3,0.0,0,0.0,3.0,3.0,8.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,2.0,2.0,2,2.0,0.0,0,0,0.0,0.0,2.0,2.0,2,2,2,2.0,0.0,0,0,0
,-0.39,0.6524,3.0,1,1.0,-1.96,159.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,48,2.0,1.0,48,0.05,0.0,10548.715,1,0.0,0.0,2.0,-1.2865199999999999,170.71,173.29,89,1.0,2.0,-2.17,86.8,91.2
42,0,3,8.0,0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0,2.0,0.0,0,2.0,2.0,0,0,2.0,0.0,2.0,2.0,0,0,2,0.0,0.0,0,0,0
,0.6225,0.2668,2.0,0.75,4.0,1.751,271.0,110.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,0.0215,2.0,2.0,0.0215,0.05,0.0,1.266,0.25,0.0,6.0,2.0,1.6949999999999998,-2.01,0.01,53,9.0,2.0,4.489,-165.4,271.4
92,3,3,8.0,6,6.0,3.0,3.0,8.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2,2.0,2.0,0,0,0
,1.0087,0.1566,0.0,0.917,1.0,1.645,110.0,95.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0228,1.0,4.0,0.0228,0.05,0.0,3.317,0.0009,1.0,1.0,0.0,1.514,-12.39,-11.61,127,2.0,0.0,4.303,-237.9,491.9
88,3,3,0.0,6,6.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2,2.0,2.0,0.0,2.0,2,2,2,2.0,2.0,0,2,2
,cannot do,cannot do,2.0,0,1.0,0.478,13.0,47.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,0.0498,0.0,4.0,0.0498,0.05,1.0,1.65,0.0498,1.0,3.0,2.0,0.494,-5.3,-4.7,104,2.0,0.0,0.496,79.3,128.7
53,0,0,0.0,0,6.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,0.0,0,0,2.0,0.0,2.0,0.0,2,2,2,2.0,2.0,0,0,0
,0.1711,0.4321,1.0,0.875,2.0,1.341,213.0,102.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0443,3.0,0.0,0.0443,0.05,0.0,2.22,0.0264,1.0,2.0,2.0,2.36,-4.25,0.25,74,1.0,0.0,1.8860000000000001,-19.6,167.7
