Total,5713052.0,,5713057.0,5713063.0,5713329.0,,5772114.0,5713387.0,,,,,,,,5713426.0,,,,,,,,,,,,5713447.0,,,,5713466,,,,,,5681783.0,,
,3.0,3.0,8.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.03,0.1515,0.0,0.938,1.6949999999999998,288.0,102.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0325,2.0,0.0,0.0325,0.05,0.0,,,0.0,3.0,2.0,1.5150000000000001,-3.9,-2.1,18,9.0,0.0,2.282,-16.3,52.3,3.0,1.0,1.0
76,3.0,3.0,8.0,6.0,4.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,0.0,0.5,1.0,0.917,2.576,282.0,93.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0449,3.0,1.0,0.0449,0.05,0.0,1.175,0.24,0.0,1.0,2.0,2.055,-12.32,-11.68,40,5.0,2.0,1.3860000000000001,10.4,69.6,1.0,1.0,1.0
86,3.0,3.0,0.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,0.0,2,2.0,2.0,2.0,2.0
,1.1,0.1352,3.0,0.833,1.08,199.0,93.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,0.0472,1.0,2.0,0.0472,0.05,0.0,1.7342,0.0829,0.0,0.0,0.0,1.3497,-16.73,-13.27,52,1.0,1.0,2.92,-12.1,116.1,2.0,3.0,4.0
96,3.0,3.0,8.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,2,2.0,2.0,0.0,2,2.0,2.0,2.0,2.0
,0.87,0.1922,1.0,0.938,2.576,230.0,90.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0467,5.0,3.0,0.0467,0.05,0.0,2.947,0.0032,1.0,1.0,2.0,1.6600000000000001,-3.33,-0.67,27,6.0,1.0,1.9529999999999998,3.3,50.7,2.0,4.0,0.0
88,3.0,3.0,0.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,0.88,0.1888,3.0,0.5,2.17,210.0,91.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0239,1.0,5.0,0.0239,0.05,0.0,2.63,0.0085,1.0,6.0,2.0,1.554,-17.19,-14.81,101,11.0,0.0,2.179,-4.7,206.7,3.0,0.0,0.0
78,3.0,3.0,0.0,0.0,4.0,0.0,6.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,0.0,2,2.0,2.0,2.0,2.0
,0.92,0.1788,10.0,0.917,1.96,250.0,98.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0218,2.0,3.0,0.0218,0.05,0.0,2.6879999999999997,0.0072,1.0,6.0,2.0,1.565,-1.19,-0.81,86,11.0,0.0,1.3860000000000001,30,142.1,1.0,4.0,1.0
84,3.0,3.0,0.0,6.0,4.0,4.0,6.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,0.0,2,2.0,2.0,2.0,2.0
,0.28,0.3897,1.0,0.9375,1.6949999999999998,115.0,95.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0237,0.0,5.0,0.0237,0.05,0.0,1.5403,0.1235,0.0,2.0,2.0,2.617,-10.09,-5.91,55,1.0,0.0,6.965,-101.8,211.8,2.0,2.0,4.0
88,3.0,3.0,0.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,1.17,0.1219,1.0,0.833,2.326,148.0,92.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,4.0,0.0232,3.0,0.0,0.0232,0.05,0.0,1.184,0.2364,0.0,3.0,2.0,2.19,-16.49,-13.51,50,3.0,1.0,2.621,-13.6,113.6,1.0,4.0,4.0
92,3.0,3.0,0.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,0.74,0.2296,2.0,0.9,1.311,251.3478412,101.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0433,4.0,1.0,0.0433,0.05,0.0,3.276937083,0.001,1.0,7.0,,1.8599999999999999,,,86,3.0,1.0,2.92,-32,204.0,4.0,0.0,0.0
86,3.0,3.0,0.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,0.51,0.305,9.0,0.875,1.282,450.0,93.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0228,4.0,0.0,0.0228,0.05,0.0,1.9340000000000002,0.0531,0.0,1.0,2.0,1.38,-15.17,-12.83,90,11.0,2.0,2.76,-27.9,207.9,4.0,4.0,2.0
86,3.0,3.0,0.0,6.0,4.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0
,0.45,0.3264,3.0,0.938,1.058,221.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0369,3.0,0.0,0.0369,0.05,0.0,2.685,0.0072,1.0,5.0,2.0,1.63,-5.03,-2.9699999999999998,51,6.0,1.0,2.383,-34.3,136.3,3.0,2.0,1.0
