Total,5713052.0,,5713057.0,5713063.0,5713158.0,5713329.0,,5772114.0,5713387.0,,,,,,,,5713426.0,,,,,,,,,,,,5713447.0,,,,5713466.0,,,,,
,4.0,4.0,8.0,6.0,7.0,4.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2,2,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.44,0.33,1.0,0.875,5.0,1.595,130.0,104.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0215,5.0,4.0,0.0215,0.05,0.0,2.254,0.0242,1.0,2.0,1.0,1.439,-2.41,0.41,42.0,10.0,0.0,2.76,-47.2,131.2
95,4.0,4.0,8.0,6.0,6.0,4.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2,2,2.0,2.0,0.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
,1.29,0.0985,5.0,0.875,5.0,1.08,140.0,107.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0256,3.0,0.0,0.0256,0.05,0.0,0.0131,0.0374,1.0,0.0,2.0,1.53,-7.86,-6.14,41.0,3.0,1.0,2.3529999999999998,-35.1,117.1
86,4.0,4.0,0.0,6.0,7.0,4.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,0,0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,0.0,3.0,3.0
,0.41,0.6591,8.0,0.9,2.0,1.2,122.0,106.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0417,5.0,5.0,0.0417,0.05,1.0,2.75,0.0061,1.0,2.0,2.0,-1.0,-2.04,0.04,80.0,9.0,2.0,4.303,-162.7,322.7
68,4.0,0.0,0.0,6.0,6.0,4.0,5.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0,2,2.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,3.0
,0.0,0.5,0.0,0.5,3.0,1.475791,280.1483,102.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0286,3.0,4.0,0.0286,0.05,0.0,1.1453181319999999,0.8739613,0.0,0.0,2.0,2.070012,77.62587,81.37413,76.0,9.0,2.0,1.06066,29.4597,122.5403
64,4.0,4.0,0.0,0.0,0.0,4.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2,0,2.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0
,0.86,0.1949,2.0,0.789,3.0,1.514,208.23,94.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0468,5.0,2.0,0.0468,0.05,0.0,2.82,0.0048,1.0,5.0,2.0,1.612,-2.04,0.04,24.0,6.0,2.0,4.303,-45.6,93.6
87,4.0,4.0,8.0,0.0,0.0,4.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2,2,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
,0.77105,0.22033,2.0,0.5987,2.0,1.281552,291.9778,90.98,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0406,3.0,4.0,0.0406,0.05,1.0,1.4081000000000001,0.1591,0.0,7.0,2.0,2.3808,-14.0797,-7.92,48.0,1.0,2.0,3.57824,44.4217,51.578
83,4.0,4.0,8.0,0.0,7.0,4.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.0,2,2,2.0,2.0,3.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0
,0.0,0.5,3.0,0.292,4.0,1.5979999999999999,212.0,110.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0277,1.0,2.0,0.0277,0.05,0.0,2.294,0.0109,1.0,0.0,2.0,-6.01,,,97.0,9.0,2.0,-2.189,-98.6,195.6
70,4.0,4.0,8.0,0.0,6.0,4.0,5.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2.0,0,0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0
