Total,5713052,,5713057,5713063,5713158,5713329,,5772114,5713387,,,,,,,,5713426,,,,,,,,,,,,5713447,,,,5713466,,,,,
,3,3,8,6,6,3,3,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0831,0.4678,4,0.5,2,1.036,204,,0,1,1,0,1,1,0,0,1,2,0.0379,3,5,0.0379,0.05,0,2.7413,0.00612,1,1,2,1.579,-16.25,-13.75,25,,,,,
61,0,3,8,0,0,3,3,0,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,0,0,0
,0.21,0.4183,2,0.003,2,1.282,177,100,1,0,0,1,1,0,0,1,5,3,0.0372,0,3,0.0372,0.05,0,-1.94,0.0261,1,2,2,1.476,-14.34,-11.66,19,9,2,1.954,-4.7,42.7
67,0,3,0,0,0,3,3,8,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
,0.2,0.4223,1,0.243,2,0.045,217,90,0,1,0,1,1,0,0,1,2,4,0.029,0,5,0.029,0.05,2,37,,2,9,2,1.824,-13.08,-10.92,75,9,2,9.92,-348.821,498.8
69,0,3,0,0,6,0,0,8,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
,1.18,0.119,11,0.9,0,1.126,203,105,1,0,1,1,0,0,0,1,1,4,3.5,1,4,3.5,0.05,0,0.7674,0.4429,0,0,2,1.998,-11.96,-2.04,33,8,1,3.896,-25.5,91.5
76,3,3,0,6,6,3,3,8,2,2,2,0,2,0,0,2,2,2,0,2,2,0,2,2,0,2,2,2,2,0,2,2,2,2,2,0,2,2
,0.33,0.3707,1,0.917,2,2.326,247,153,1,0,0,1,0,0,1,1,2,3,0.0456,3,0,0.0456,0.05,0,3.195,0.0014,1,4,2,1.77,-3.13,-0.87,119,7,1,5.643,-200.3,438.3
74,3,3,0,6,6,3,3,0,2,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,0.22,0.4134,2,0.9,4,1.227,170,102,0,1,1,0,0,1,1,1,3,0,0.0203,3,2,0.0203,0.05,0,2.319,0.0204,1,0,2,1.455,-3.67,-2.33,66,5,2,2.533,-12.1,140.1
75,0,3,0,6,6,3,3,8,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
,1.02009,0.1538429,0,0.9,0,1.750686,142,108,1,0,0,0,0,1,1,0,1,5,0.0256,3,2,0.0256,0.05,0,1.939688,0.02620881,1,5,2,1.37883,-3.099634,-0.9003656,58,8,1,3.103977,-53.10908,169.1091
94,3,3,8,6,6,3,3,8,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2
,-0.59,0.7221,11,,4,-1.254,198,1710,0,1,0,0,1,1,0,0,1,0,0.0325,2,3,0.0325,0.05,0,2.65032,0.0389,1,3,2,-1.555,,,108,0,2,-1.96,,
47,0,3,0,0,0,3,3,0,2,2,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,0,2,0,2,0,0,0
,1.02,0.1539,1,0.75,5,-1.08,191,24,0,1,0,1,0,1,1,0,0,4,0.0249,2,0,0.0249,0.05,0,2.4849,0.00324,1,0,2,-1.523,-8.8,-7.2,88,5,1,2.92,30,206
70,3,3,8,0,0,3,3,0,2,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2
,0.41,0.3409,4,0.338,0,1.227,236,1002,0,1,0,0,1,1,1,1,3,0,0.0409,5,5,0.0409,0.05,0,2.505,0.0122,1,2,2,1.777,-9.33,-8.67,37,9,2,2.495,-3.3,77.34
78,3,3,8,0,0,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
