Total,5811293,5811096,,,,5810989,,,5810965,,,5788012,5806181,5784980,,5810956,,,,5810963,,,,5723574,5723577,5810958,,5810957,,,,,,,,5810955,,,,,,,,,5810935,,,,,,5810954,5810933,,,,,,,,,,,,5810927,,,
,3,1,1,1,1,2,2,2,2,1,1,3,3,4,4,1,1,2,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1833,1,1.408,1.364,1.604,2,3,4,19.975,1.514,3.365,0.1894,1,6.888,4.543,1,1.944,-24.399,-19.32,0,1.955,0.06,1,0.143,0.13747,0.259,0.4635,0,5,0.05,0,1.87,0.0614,0,0,2,1,0,1,3,0,2.726,0.003,0,1,2,1,2,0,1,0.101,2,4,5.8,2,2,5.8,0.05,0,-2.08,0.03752,1,7,0,1.372,0.153,0.216
90,0,1,1,1,1,2,2,0,2,1,1,3,0,4,4,1,1,2,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
,2852,1,12.2097,0.487,0.608,3,2,3,20.069,0.64,3.58,0.208,2,1.7778,0.0329,1,-26.623,-23.293,-20.847,1,1.993,0.0554,0,0.9058,0.63331,0.2541,0.4061,2,2,0.05,0,1.97,0.02442,1,1,0,1,0,2,5,0,2.773,0.00299,3,2,0,2,1,1,1,0.617,4,2,0,1,3,0,0.05,1,-1.4967,0.07009,0,0,0,2.01409,0.112,0.177
59,3,1,0,0,0,2,2,2,2,1,1,0,0,0,0,1,0,2,1,1,1,1,1,0,3,0,0,1,1,1,1,1,0,1,1,0,1,1,2,0,1,1,1,0,2,2,0,2,2,2,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,2,0
,666,1,1.079,53.078,72.404,3,0,2,20.058,0.09,2.19,0.1516,3,6.882,4.586,1,2.447,-21.3367,-17.1233,2,2.625,0.0122,1,0.1132,0.06287,0.2403,0.4827,2,2,0.05,0,1.04,0.2983,0,0,1,1,0,3,2,0,3.463,0.001,5,1,2,1,1,0,0,0.341,3,2,4.5,3,5,4.5,0.05,0,-2.1799,0.0293,1,4,0,1.405,0.074,0.122
79,3,1,1,0,0,2,0,2,2,1,1,3,3,0,0,1,1,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
,0.0002929,1,1.519,1.306,1.562,2,1,1,20.159,0.817,3.083,0.0931,3,24,6,1,2.647,-20.945,-18.415,1,2.213,0.033,1,0.1732,0.3033,0.2495,0.4471,3,5,0.05,0,1.58,0.1141,0,0,5,1,0,1,3,0,2.254,0.026,0,1,0,2,2,2,2,0.113,5,3,5.8,5,5,5.8,0.05,0,-3.25,0.00116,1,3,0,1.44,0.261,0.338
68,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,1,0,2,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2
,2303,1,1.479,-27.186,28.808,5,3,0,2.837,2.242,2.518,0.1362,10,0.111,0.002,1,1.588,-25.92926,-27.8907,3,2.093,0.04346,1,0.0733,0.73303,0.0956,0.2552,3,2,0.05,0,2.21,0.0274,1,1,4,2,0,5,3,0,3.457,0,4,1,1,2,1,0,0,0.079,3,2,6,0,5,6,0.05,0,-2.223,0.0262,1,1,0,1.282,0.047,0.339
66,3,1,1,0,0,2,2,0,0,0,0,0,3,0,0,1,1,0,0,1,1,1,1,0,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0
,7826,1,17.5,0.0027,3.119,5,0,6,20.036,0.899,2.8,0.1023,3,0.111,0.0123,1,-58.17,10.36,-58.28,4,1.998,0.054,1,0.1688,0.40901,0.1255,0.3293,0,0,0.05,0,1.99,0.0466,1,1,4,2,0,2,4,0,2.986,0.00171,5,0,0,1,1,1,0,0.881,1,4,5.6,3,0,5.6,0.05,0,-2.706,0.0068,1,5,0,-1.476,0.2488,0.3276
72,0,1,0,1,1,0,0,2,2,1,1,3,0,0,0,1,0,0,0,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
,cannot do,1,1.602,0.906,0.962,5,5,2,20.164,0.792,3.308,0.4925,7,cannot do,cannot do,1,1.586,-16.479,-14.521,3,1.867,0.0698,3,1.848,0.72427,cannot do,cannot do,3,1,0.05,1,1.96,0.025,1,1,5,1,0,1,2,0,1.971,0.049,2,2,0,2,1,0,1,cannot do,0,0,5.8,5,0,5.8,0.05,0,-2.87,0.0041,1,6,0,1.282,0.186,0.247
62,0,1,1,0,0,2,2,2,2,0,0,0,3,0,0,1,1,2,1,1,1,1,0,0,3,0,0,1,1,1,0,0,0,1,1,0,1,1,2,0,1,0,0,0,2,2,0,2,2,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,2
,cannot do,1,-1.175,1.1255845,1.3964455,3,3,1,20.022011,0.875839,3.80416,0.140637,9,20.44444444,2.46913,1,-1.507,-17.8748,-14.5651788,2,2.122222,cannot do,2,0.179,0.6784,0.360228,0.535771,1,2,0.05,0,1.88,0.0601,0,0,4,2,0,5,4,0,3.67083,0.00019,2,2,1,0,1,0,1,0.08256,5,3,5.6,1,2,5.6,0.05,0,-3.1541309,0.0016,1,0,0,1.645,0.05787,0.11104
79,0,1,1,1,1,2,2,2,2,1,1,3,0,0,0,1,0,2,1,1,1,0,0,4,3,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2
,1309,1,1.958,0.786,1.398,3,3,4,13.262,1.243,2.636,0.2327,9,6.882,0.1245,1,2.279,-13.529,-18.61,2,2.29,0.028,1,0.154,0.24602,0.3694,0.5587,0,0,0.05,0,1.72,0.0854,0,0,4,2,0,5,0,0,3.611,0.00024,3,0,0,1,2,1,1,0.789,0,5,6,0,5,6,0.05,0,-3.48,0.0005,1,4,0,1.405,0.195,0.265
81,3,1,1,1,1,2,2,2,0,0,0,3,3,0,0,1,0,0,0,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
,1957,1,1.125,1.09,1.473,3,3,6,19.903,0.929,2.731,0.215,0,6.889,4.543,1,1.245,-20.63,-19.39,0,1.967,0.0558,1,0.1492,0.4064,0.4454,0.5988,5,1,0.05,0,2.4,0.0164,1,0,3,2,0,3,1,0,2.957,0.00198,5,1,1,1,0,0,2,0.764,1,2,5.6,0,5,5.6,0.05,0,-1.957,0.05034,0,4,0,1.476,0.177,0.25
96,3,1,1,1,1,2,2,2,2,1,1,3,3,4,4,1,1,2,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
,7422,1,11.4,-0.001,2.235,4,6,1,20.194,0.294,2.126,1,9,1031.6,42553.66,1,-1.163,-28.7591,-27.5008,0,2.682,0.011,0,0.7822,1.392,0.3453,0.604,4,5,0.05,0,1.48,0.06944,0,4,3,1,0,3,0,0,3.524,0.999,5,2,2,1,0,0,1,0.066,5,3,5.5,4,2,5.5,0.05,1,-3.186,0.00138,1,7,0,1.44,-0.897,-0.728
50,0,1,0,1,1,2,2,2,2,0,0,0,3,0,0,1,0,2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,2,0,1,1,0,0,2,0,2,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0
,11350,1,1.647,0.767,1.032,3,0,3,20.407,0.815,3.645,0.07518,7,6,2.3094,1,1.93,-25.45,-23.77,3,1.81,0.0792,0,1,0.1297,0.2621,0.4519,5,3,0.05,1,2.017144,0.04368,1,1,2,2,0,5,2,0,3.254,0.00071,2,1,2,0,2,2,2,0.975,4,1,5.9,3,4,5.9,0.05,0,-2.873524466,0.004059,1,2,0,1.372,0.219,0.2896
75,0,1,1,1,1,2,2,2,2,1,1,3,3,0,0,1,1,2,1,1,1,1,1,0,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
,2053,1,1.199,1.14025,1.44085,4,6,0,20.4794,0.771011,3.36899,0.097119,10,6.88889,4.54321,1,1.274,-26.0431,-24.2969,2,2.15227,0.0388,1,0.1672,0.44517,0.202252,0.405548,4,1,0.05,0,1.82493,0.06802,0,0,0,2,0,4,4,0,3.19009,0.00093,2,2,2,1,1,2,1,0.2156,1,1,5.6,1,4,5.6,0.05,0,-1.55813,0.1192,0,5,0,1.514,0.238573,0.318128
96,3,1,1,1,1,2,2,2,2,1,1,3,3,4,4,1,1,2,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,2,0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
,2298,1,1.956,1.032,1.405,1,4,6,20.122,-0.749,5.449,0.0841,10,6.889,4.541,1,1.546,-25.434,-20.806,3,2.114,0.0426,0,0.1598,0.69995,0.1134,0.2956,3,5,0.05,0,2.13,0.0331,1,1,2,2,0,3,3,0,2.857,0.002,5,1,1,1,0,0,2,0.121,2,4,5.1,4,5,5.1,0.05,0,-2.824,0.005,1,6,0,1.645,0.206,0.289
91,3,1,1,1,1,0,2,2,2,0,0,3,0,4,4,1,1,2,1,1,1,1,1,4,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
,1303,1,1.561,0.638,0.956,5,2,3,20.296,0.899,3.581,0.1134,1,7.938,2.817,1,1.95,-19.97,-17.11,2,1.795,0.08,0,0.1738,0.14494,0.2374,0.3773,5,0,0.05,0,1.74,0.0817,0,0,0,1,0,4,5,0,3.238,0.002,4,2,1,0,2,1,1,0.118,1,5,5.9,0,4,5.9,0.05,0,-3.3,0.00097,1,1,0,1.372,26.228,33.504
76,3,1,1,1,1,2,2,2,2,1,1,0,3,0,0,1,1,2,1,1,1,1,1,4,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0
,6989,1,9.1,0,0,5,2,4,20.429,0.695,2.785,0.5307,3,0.333,0.105,1,2.011,-25.007299,-23.452701,4,2.176,0.037,1,0.1214,0.614654,0.0399,0.7725,3,1,0.05,0,1.68,0.09296,0,2,0,2,0,0,4,0,3.002,0.002,5,1,0,0,1,2,1,0.124,5,3,5.2,3,3,5.2,0.05,1,-2.4749,0.01332,1,1,0,1.372,0.129,0.188
63,0,1,0,0,0,2,0,2,2,1,1,0,0,0,0,1,1,2,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,2,1,1,1,1,0,2,2,2,2,2,2,3,1,1,1,1,1,1,1,0,1,0,1,1,1,2,2,0
,1083,1,7.9,0,1.661,4,6,6,20.383,0.773,3.467,0,7,13.926,8.016,1,-24.6,-46.18,0,0,1.832,0.0762,0,0.1218,0.81623,0.0456,0.2742,5,0,0.05,0,1.73,0.04182,1,3,0,1,0,1,3,0,3.666,0,3,1,2,2,0,2,0,0.94,1,2,5.5,4,1,5.5,0.05,1,-2.51433,0.00841,1,0,0,1.311,0.073,0.118
