Total,5811293.0,5811096.0,,,,5810989.0,,,5810965.0,,,5788012.0,5806181.0,5784980,,5810956.0,,,,5810963.0,,,,5723574,5723577.0,5810958.0,,5810957.0,,,,,,,,5810955.0,,,,,,,,,5810935.0,,,,,,5810954.0,5810933.0,,,,,,,,,,,,5810927.0,,,
,3.0,1.0,1,1,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4,4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,4,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1834.0,1.0,1.12,1.2730000000000001,1.569,2.0,1.0,1.0,18.81,1.2770000000000001,3.163,0.0758,10.0,6.889,4.543,1.0,1.518,-0.954,1.034,1.0,2.109,0.093,0.0,0.1594,0.67688,0.2121,0.3879,0.0,3.0,0.05,0.0,2.83,0.0046,1.0,1.0,1.0,1.0,0.0,5.0,4.0,0.0,2.052,0.021,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.183,2.0,4.0,4.7,4.0,5.0,4.7,0.05,0.0,-1.889,0.059,0.0,3.0,0.0,1.645,0.214,0.3
83,0.0,1.0,1,1,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,4,4,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,4,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,2122.0,1.0,30,1.055,1.275,5.0,3.0,4.0,20.583,0.96,2.7800000000000002,0.092,10.0,6.889,4.543,1.0,2.429,-29.373,-24.427,4.0,2.193,0.035,1.0,0.1642,0.25762,0.3006,0.4826,1.0,3.0,0.05,0.0,1.74,0.0818,0.0,0.0,2.0,1.0,0.0,4.0,3.0,0.0,3.432,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.162,2.0,3.0,5.9,3.0,3.0,5.9,0.05,0.0,-1.65,0.099,0.0,2.0,0.0,1.405,0.233,0.306
94,3.0,1.0,0,1,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,4,4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,4,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,2757.0,1.0,1.254,1.211,1.436,0.0,2.0,0.0,19.842,0.407,3.313,0.1653,2.0,6.889,4.543,1.0,1.696,-23.624,-18.936,0.0,1.693,0.098,1.0,0.1304,0.81111,0.4103,0.5553,4.0,4.0,0.05,0.0,0.894,0.3713,0.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,2.459,0.008,5.0,1.0,2.0,0.0,1.0,0.0,1.0,0.232,3.0,0.0,5.3,4.0,0.0,5.3,0.05,,-2.028,0.043,1.0,1.0,0.0,1.311,0.104,0.155
96,0.0,1.0,1,1,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4,4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,4,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
,2921.0,1.0,1.88,1.342,1.6949999999999998,4.0,2.0,0.0,20.25,0.925,3.495,0.2101,3.0,6.889,4.543,1.0,1.5150000000000001,-24.993,-22.826999999999998,1.0,2.014,0.052,0.0,0.1454,0.68897,0.112,0.336,1.0,1.0,0.05,1.0,4.18,0.0409,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.034,0.001,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.156,4.0,2.0,5.2,0.0,1.0,5.2,0.05,0.0,-3.34,0.0008,1.0,1.0,0.0,1.645,0.15,0.224
